rr_cd,line_cd,station_cd,line_sort,station_sort,station_g_cd,r_type,rr_name,line_name,station_name,pref_cd,lon,lat,f_flag
11,11108,1110808,11108,1110808,1110808,1,JR,JR根室本線(花咲線)(釧路〜根室),厚岸,1,144.841355,43.056248,1
11,11108,1110809,11108,1110809,1110809,1,JR,JR根室本線(花咲線)(釧路〜根室),糸魚沢,1,144.92545,43.103506,1
11,11108,1110810,11108,1110810,1110810,1,JR,JR根室本線(花咲線)(釧路〜根室),茶内,1,145.02801,43.129266,1
11,11108,1110811,11108,1110811,1110811,1,JR,JR根室本線(花咲線)(釧路〜根室),浜中,1,145.099657,43.15754,1
11,11108,1110812,11108,1110812,1110812,1,JR,JR根室本線(花咲線)(釧路〜根室),姉別,1,145.194716,43.196201,1
11,11108,1110813,11108,1110813,1110813,1,JR,JR根室本線(花咲線)(釧路〜根室),厚床,1,145.252096,43.228224,1
11,11108,1110814,11108,1110814,1110814,1,JR,JR根室本線(花咲線)(釧路〜根室),初田牛,1,145.32277,43.204542,1
11,11108,1110815,11108,1110815,1110815,1,JR,JR根室本線(花咲線)(釧路〜根室),別当賀,1,145.423593,43.218427,1
11,11108,1110816,11108,1110816,1110816,1,JR,JR根室本線(花咲線)(釧路〜根室),落石,1,145.519449,43.198335,1
11,11108,1110817,11108,1110817,1110817,1,JR,JR根室本線(花咲線)(釧路〜根室),昆布盛,1,145.542444,43.228593,1
11,11108,1110818,11108,1110818,1110818,1,JR,JR根室本線(花咲線)(釧路〜根室),西和田,1,145.541817,43.268043,1
11,11108,1110819,11108,1110819,1110819,1,JR,JR根室本線(花咲線)(釧路〜根室),花咲,1,145.575045,43.295388,1
11,11108,1110820,11108,1110820,1110820,1,JR,JR根室本線(花咲線)(釧路〜根室),東根室,1,145.597234,43.323655,1
11,11108,1110821,11108,1110821,1110821,1,JR,JR根室本線(花咲線)(釧路〜根室),根室,1,145.582707,43.326923,1
11,11109,1110901,11109,1110901,1110434,1,JR,JR千歳線,苫小牧,1,141.596837,42.639665,1
11,11109,1110902,11109,1110902,1110502,1,JR,JR千歳線,沼ノ端,1,141.693132,42.672057,1
11,11109,1110903,11109,1110903,1110903,1,JR,JR千歳線,植苗,1,141.735344,42.713645,1
11,11109,1110904,11109,1110904,1110904,1,JR,JR千歳線,美々,1,141.711387,42.777418,1
